Latein;Deutsch;Sorte;;Name;Verkauf;DTM;CODE;generation;BEETMETER;Aussaat;Transplant;START OF HARVEST;END OF HARVEST;;;;;;;
Ageratum houstonianum;Gewöhnlicher Leberbalsam;Red flint ;Red flint ;Gewöhnlicher Leberbalsam-Red flint ;;90;;#1;;29.3.21;;27.6;27.7;;;;;;;
Agrostemma githago;Kornrade;;DEFAULT;Kornrade-DEFAULT;;80;;#1;;;;18.7;1.8;;;;;;;
Amaranthus caudatus;Grüner Garten-Fuchsschwanz ; 'Green Cascade'; 'Green Cascade';Grüner Garten-Fuchsschwanz - 'Green Cascade';;70;;#1;;29.3.21;;8.8;22.8;;;;;;;
Amaranthus Amaranthus cruentus;Fuchsschwanz;Hot Biscuit;Hot Biscuit;Fuchsschwanz-Hot Biscuit;;70;;#1;;29.3.21;;29.8;12.9;;;;;;;
Ammi majus;Knorpelmöhre;White Dill;White Dill;Knorpelmöhre-White Dill;;70;;#1;;1.3.21;;19.9;3.10;;;;;;;
Ammi visnaga;Bischofskraut;;DEFAULT;Bischofskraut-DEFAULT;;;;#1;;;;;;;;;;;;
Ammobium alatum;Sand-Immortelle, Papierknöpfchen ;;DEFAULT;Sand-Immortelle, Papierknöpfchen -DEFAULT;;80;;#1;;11.3.21;;21.1;4.2;;;;;;;
Antirrhinum majus;Löwenmäulchen;Hohe Mischung ;Hohe Mischung ;Löwenmäulchen-Hohe Mischung ;;120;;#1;;8.3.21;;;;;;;;;;
Antirrhinum majus;Löwenmäulchen;Appleblossom;Appleblossom;Löwenmäulchen-Appleblossom;;120;;#1;;8.3.21;;6.7;27.7;;;;;;;
Antirrhinum majus;Löwenmäulchen;Defiance;Defiance;Löwenmäulchen-Defiance;;120;;#1;;8.3.21;;6.7;27.7;;;;;;;
Borago officinalis;Borage;KEIN SCHNITT;KEIN SCHNITT;Borage-KEIN SCHNITT;;;;#1;;;;0.1;21.1;;;;;;;
Bracteantha branteata;echte hohe Strohblume ;Apricot/Peach Mix;Apricot/Peach Mix;echte hohe Strohblume -Apricot/Peach Mix;;85;;#1;;11.3.21;;4.6;25.6;;;;;;;
Brassica oleracea var. acephala;Zierkohl;Mischung ;Mischung ;Zierkohl-Mischung ;;70;;#1;;30.6.21;;;;;;;;;;
Bupleurum rotundifolium;Rundblättriges Hasenohr ;'Griffithii';'Griffithii';Rundblättriges Hasenohr -'Griffithii';;90;;#1;;1.3.21;;;;;;;;;;
Calendula officinalis;Ringelblume;;DEFAULT;Ringelblume-DEFAULT;;55;;#1;;29.3.21;;23.5;13.6;;;;;;;
Callistephus chinensis;Sommeraster;Princesse Mischung;Princesse Mischung;Sommeraster-Princesse Mischung;;120;;#1;;29.3.21;;;;;;;;;;
Callistephus chinensis;Sommeraster;Paeoniaeflora;Paeoniaeflora;Sommeraster-Paeoniaeflora;;120;;#1;;29.3.21;;;;;;;;;;
Callistephus chinensis;Sommeraster;Langstielige Mischung ;Langstielige Mischung ;Sommeraster-Langstielige Mischung ;;120;;#1;;29.3.21;;;;;;;;;;
Callistephus chinensis;Sommeraster;King Size Apricot;King Size Apricot;Sommeraster-King Size Apricot;;120;;#1;;29.3.21;28.4;7.5;14.5;;;;;;;
Celosia argentea cristata;Hahnenkamm ;Chief Mix;Chief Mix;Hahnenkamm -Chief Mix;;90;;#1;;29.3.21;28.4;21.5;28.5;;;;;;;
Celosia argentea cristata;Hahnenkamm ;Red Flame;Red Flame;Hahnenkamm -Red Flame;;90;;#1;;29.3.21;28.4;4.6;11.6;;;;;;;
Celosia argentea cristata;Hahnenkamm ;Pampas Plume;Pampas Plume;Hahnenkamm -Pampas Plume;;90;;#1;;29.3.21;28.4;18.6;25.6;;;;;;;
Celosia argentea cristata;Hahnenkamm ;Tall Mix;Tall Mix;Hahnenkamm -Tall Mix;;90;;#1;;29.3.21;28.4;2.7;9.7;;;;;;;
Celosia Bombay;;;DEFAULT;-DEFAULT;;;;#1;;30.3.21;29.4;16.7;23.7;;;;;;;
Carthamus tinctorius;Färberdistel  /Saflor orange;;DEFAULT;Färberdistel  /Saflor orange-DEFAULT;;120;;#1;;29.3.21;28.4;30.7;6.8;;;;;;;
Centaurea cyanus;Kornblume;Florist blue boy;Florist blue boy;Kornblume-Florist blue boy;;70;;#1;;29.3.21;28.4;13.8;20.8;;;;;;;
Centaurea imperialis;Große Duftflockenblume;Brautstrauß;Brautstrauß;Große Duftflockenblume-Brautstrauß;;70;;#1;;29.3.21;28.4;27.8;3.9;;;;;;;
Centaurea macrocephala;Großköpfige Flockenblume;;DEFAULT;Großköpfige Flockenblume-DEFAULT;;;;#1;;;30.1;10.9;17.9;;;;;;;
Cerinthe major;Wachsblume/Cerinthe;Purpurascens;Purpurascens;Wachsblume/Cerinthe-Purpurascens;;70;;#1;;29.3.21;28.4;24.9;1.10;;;;;;;
Cephalophora aromatica;Gummibärchenblume;;DEFAULT;Gummibärchenblume-DEFAULT;;90;;#1;;25.2.21;27.3;8.10;15.10;;;;;;;
Clarkia amoena;Sommerazalee/Mandelblume;;DEFAULT;Sommerazalee/Mandelblume-DEFAULT;;;;#1;;;30.1;22.10;29.10;;;;;;;
Clarkia unguiculata;;Excellent Mix;Excellent Mix;-Excellent Mix;;85;;#1;;29.3.20;;;;;;;;;;
Cleome spinosa;Spinnenblume;;DEFAULT;Spinnenblume-DEFAULT;;;;#1;;;;;;;;;;;;
Consolida ajacis;Garten Feldrittersporn;Formula Mix;Formula Mix;Garten Feldrittersporn-Formula Mix;;90;;#1;;20.1.21;19.2;4.6;11.6;;;;;;;
Consolida ambigua;Garten Feldrittersporn;Sublime dark blue;Sublime dark blue;Garten Feldrittersporn-Sublime dark blue;;90;;#1;;20.1.21;19.2;18.6;25.6;;;;;;;
Coix lacryma;Hiobstränengras;;DEFAULT;Hiobstränengras-DEFAULT;;90;;#1;;29.3.21;28.4;2.7;9.7;;;;;;;
Coreopsis tinctoria;Färber-Mädchenauge;;DEFAULT;Färber-Mädchenauge-DEFAULT;;;;#1;;;30.1;16.7;23.7;;;;;;;
Cosmos bipinnatus;Kosmeen/Schmuckkörbchen;Double Click Cranberries;Double Click Cranberries;Kosmeen/Schmuckkörbchen-Double Click Cranberries;;80;;#1;;29.3.21;;;;;;;;;;
Cosmos bipinnatus;Kosmeen/Schmuckkörbchen;Cupcake blush;Cupcake blush;Kosmeen/Schmuckkörbchen-Cupcake blush;;80;;#1;;29.3.21;;;;;;;;;;
