Name Deutsch;Name Latein;Vulgo;;Verkauf;DTM;CODE;generation;BEETMETER;Aussaat;Transplant;START OF HARVEST;END OF HARVEST
Ageratum houstonianum;Gewöhnlicher Leberbalsam;Red flint ;;;90;;#1;;2021-03-29;;27.6;27.7
Agrostemma githago;Kornrade;;;;80;;#1;;;;18.7;1.8
Amaranthus caudatus;Grüner Garten-Fuchsschwanz ; 'Green Cascade';;;70;;#1;;2021-03-29;;8.8;22.8
Amaranthus Amaranthus cruentus;Fuchsschwanz;Hot Biscuit;;;70;;#1;;2021-03-29;;29.8;12.9
Ammi majus;Knorpelmöhre;White Dill;;;70;;#1;;2021-03-01;;19.9;3.10
Ammi visnaga;Bischofskraut;;;;;;#1;;;;;
Ammobium alatum;Sand-Immortelle, Papierknöpfchen ;;;;80;;#1;;2021-03-11;;21.1;4.2
Antirrhinum majus;Löwenmäulchen;Hohe Mischung ;;;120;;#1;;2021-03-08;;;
Antirrhinum majus;Löwenmäulchen;Appleblossom;;;120;;#1;;2021-03-08;;6.7;27.7
Antirrhinum majus;Löwenmäulchen;Defiance;;;120;;#1;;2021-03-08;;6.7;27.7
Borago officinalis;Borage;KEIN SCHNITT;;;;;#1;;;;0.1;21.1
Bracteantha branteata;echte hohe Strohblume ;Apricot/Peach Mix;;;85;;#1;;2021-03-11;;4.6;25.6
Brassica oleracea var. acephala;Zierkohl;Mischung ;;;70;;#1;;2021-06-30;;;
Bupleurum rotundifolium;Rundblättriges Hasenohr ;'Griffithii';;;90;;#1;;2021-03-01;;;
Calendula officinalis;Ringelblume;;;;55;;#1;;2021-03-29;;23.5;13.6
Callistephus chinensis;Sommeraster;Princesse Mischung;;;120;;#1;;2021-03-29;;;
Callistephus chinensis;Sommeraster;Paeoniaeflora;;;120;;#1;;2021-03-29;;;
Callistephus chinensis;Sommeraster;Langstielige Mischung ;;;120;;#1;;2021-03-29;;;
Callistephus chinensis;Sommeraster;King Size Apricot;;;120;;#1;;2021-03-29;28.4;7.5;14.5
Celosia argentea cristata;Hahnenkamm ;Chief Mix;;;90;;#1;;2021-03-29;28.4;21.5;28.5
Celosia argentea cristata;Hahnenkamm ;Red Flame;;;90;;#1;;2021-03-29;28.4;4.6;11.6
Celosia argentea cristata;Hahnenkamm ;Pampas Plume;;;90;;#1;;2021-03-29;28.4;18.6;25.6
Celosia argentea cristata;Hahnenkamm ;Tall Mix;;;90;;#1;;2021-03-29;28.4;2.7;9.7
Celosia Bombay;;;;;;;#1;;2021-03-30;29.4;16.7;23.7
Carthamus tinctorius;Färberdistel  /Saflor orange;;;;120;;#1;;2021-03-29;28.4;30.7;6.8
Centaurea cyanus;Kornblume;Florist blue boy;;;70;;#1;;2021-03-29;28.4;13.8;20.8
Centaurea imperialis;Große Duftflockenblume;Brautstrauß;;;70;;#1;;2021-03-29;28.4;27.8;3.9
Centaurea macrocephala;Großköpfige Flockenblume;;;;;;#1;;;30.1;10.9;17.9
Cerinthe major;Wachsblume/Cerinthe;Purpurascens;;;70;;#1;;2021-03-29;28.4;24.9;1.10
Cephalophora aromatica;Gummibärchenblume;;;;90;;#1;;2021-02-25;27.3;8.10;15.10
